source,target,value
Jon,Maester,180
Jon,Sam,263
Jon,Mormont,34
Walder,Yoren,5
Cersei,Jaime,117
Catelyn,Jaime,44
Jaime,Walder,13
Jaime,Tyrion,90
Cersei,Robert,47
Brienne,Cersei,26
Brienne,Jaime,495
Brienne,Catelyn,31
Cersei,Tyrion,139
Beric,Jaime,1
Jaime,Robin,21
Catelyn,Robin,24
Catelyn,Lysa,68
Bran,Lysa,3
Bran,Theon,12
Ned,Theon,11
Catelyn,Ned,49
Lysa,Ned,9
Edmure,Lysa,7
Lysa,Robert,19
Ned,Robert,8
Lysa,Robb,10
Catelyn,Robb,136
Jon,Lysa,11
Catelyn,Jon,7
Lysa,Robin,4
Catelyn,Edmure,53
Catelyn,Stannis,17
Joffrey,Stannis,76
Brienne,Robb,16
Arya,Jaime,23
Arya,Jaqen,11
Jaqen,Roose,1
Arya,Roose,37
Arya,Syrio,20
Jaqen,Syrio,12
Arya,Gendry,260
Gendry,Yoren,10
Arya,Yoren,15
Gendry,Jon,5
Bronn,Tyrion,128
Cersei,Joffrey,79
Jaime,Stannis,31
Cersei,Stannis,6
Shae,Tyrion,60
Shae,Tommen,8
Cersei,Tommen,18
Bronn,Tommen,22
Stannis,Tyrion,41
Bronn,Stannis,12
Bronn,Cersei,43
Bronn,Margaery,5
Bronn,Podrick,25
Cersei,Meryn,16
Meryn,Tyrion,13
Jaime,Podrick,4
Podrick,Tyrion,42
Robb,Stannis,18
Robett,Stannis,5
Robb,Roose,10
Robb,Tyrion,37
Joffrey,Tommen,82
Tommen,Tyrion,19
Davos,Joffrey,39
Davos,Melisandre,148
Melisandre,Stannis,107
Sansa,Stannis,10
Margaery,Sansa,118
Joffrey,Margaery,131
Joffrey,Tyrion,164
Joffrey,Sansa,228
Joffrey,Sandor,17
Sandor,Sansa,10
Margaery,Sandor,5
Loras,Sansa,53
Cersei,Sansa,97
Mace,Sansa,23
Loras,Margaery,31
Rickard,Sansa,4
Margaery,Robert,11
Sansa,Varys,22
Jon,Ygritte,452
Jon,Mance,186
Mance,Ygritte,30
Mance,Tormund,16
Jon,Tormund,133
Benjen,Jon,26
Benjen,Robert,14
Jon,Robert,32
Arya,Jon,34
Daenerys,Dothraki,8
Captain,Illyrio,5
Illyrio,Mormont,2
Mormont,Viserys,12
Illyrio,Viserys,1
Dothraki,Illyrio,7
Dothraki,Khal,30
Bran,Hodor,79
Hodor,Meera,81
Jojen,Meera,174
Bran,Jojen,51
Hodor,Jojen,95
Davos,Stannis,204
Robert,Stannis,50
Brienne,Stannis,7
Jaime,Thoros,11
Robert,Thoros,22
Jaime,Robert,77
Beric,Cersei,3
Beric,Brienne,3
Brienne,Tyrion,20
Amory,Jaime,13
Jaime,Tywin,15
Robert,Viserys,11
Grand,Varys,6
Grand,Tyrion,18
Tyrion,Varys,63
Cersei,Grand,17
Robert,Varys,19
Barristan,Robert,26
Bronn,Varys,5
Shae,Varys,30
Podrick,Varys,6
Loras,Tyrion,19
Jaime,Loras,27
Jaime,Meryn,29
Arya,Shae,2
Arya,Catelyn,13
Arya,Sansa,88
Robb,Sansa,19
Catelyn,Sansa,25
Brynden,Catelyn,27
Catelyn,Rickard,22
Robb,Walder,70
Balon,Theon,4
Catelyn,Walder,167
Jon,Robb,14
Mace,Randyll,6
Mace,Stannis,30
Catelyn,Theon,23
Catelyn,Tormund,4
Tormund,Ygritte,50
Arya,Ygritte,5
Bowen,Jon,39
Margaery,Stannis,7
Arya,Margaery,5
Joffrey,Loras,24
Arya,Loras,5
Ilyn,Margaery,10
Cersei,Loras,9
Jaqen,Yoren,4
Arya,Beric,31
Beric,Tywin,1
Arya,Tywin,5
Arya,Robert,23
Arya,Nymeria,4
Arya,Thoros,116
Maester,Sam,115
Mormont,Sam,108
Dickon,Sam,14
Randyll,Sam,16
Sam,Talla,1
Gilly,Talla,6
Gilly,Sam,229
Alliser,Sam,14
Alliser,Jon,84
Alliser,Dickon,6
Cersei,Varys,20
Cersei,Mace,15
Mace,Tyrion,75
Kevan,Tyrion,53
Kevan,Lancel,10
Lancel,Tyrion,12
Cersei,Lancel,4
Joffrey,Robett,3
Mace,Robb,5
Kevan,Robb,22
Balon,Kevan,4
Balon,Cersei,8
Lysa,Stannis,4
Cersei,Lysa,10
Lysa,Tyrion,9
Joffrey,Kevan,27
Mace,Robert,1
Cersei,Kevan,15
Grand,Mace,3
Robert,Tyrion,45
Kevan,Margaery,6
Kevan,Mace,6
Doran,Mace,17
Doran,Tyrion,21
Kevan,Varys,15
Kevan,Tywin,12
Kevan,Yohn,4
Cersei,Robb,3
Cersei,Doran,4
Stannis,Theon,10
Loras,Stannis,14
Cersei,Shae,13
Sansa,Tyrion,186
Sansa,Shae,31
Kevan,Sansa,27
Jaime,Lysa,5
Lysa,Yohn,4
Robert,Yohn,5
Balon,Tyrion,16
Edmure,Rickard,3
Brynden,Robb,6
Catelyn,Kevan,1
Brynden,Kevan,7
Brynden,Roose,5
Theon,Walder,9
Rickard,Robb,6
Ned,Robb,9
Joffrey,Robert,34
Jaime,Sansa,19
Dothraki,Jaime,31
Brienne,Dothraki,3
Beric,Thoros,23
Gendry,Thoros,48
Beric,Gendry,12
Arya,Robb,17
Thoros,Yoren,4
Jorah,Khal,4
Hodor,Osha,2
Bran,Meera,40
Barristan,Meera,4
Joffrey,Shireen,13
Davos,Tommen,2
