source,target,value
Robert,Stannis,136
Davos,Maester,6
Davos,Stannis,302
Shireen,Stannis,22
Beric,Stannis,4
Mace,Robert,8
Robert,Viserys,14
Jon,Robert,18
Lysa,Stannis,10
Lysa,Shireen,4
Mace,Stannis,28
Lysa,Maester,5
Melisandre,Stannis,38
Davos,Melisandre,61
Maester,Stannis,5
Melisandre,Robert,6
Maester,Melisandre,5
Arya,Yoren,218
Arya,Sansa,77
Syrio,Yoren,17
Joffrey,Yoren,4
Jon,Yoren,5
Jon,Sansa,7
Joffrey,Sansa,294
Joffrey,Robb,40
Joffrey,Meryn,34
Cersei,Robert,36
Sandor,Sansa,27
Bran,Sansa,1
Bran,Tommen,2
Dothraki,Sansa,2
Meryn,Sansa,6
Balon,Meryn,2
Balon,Sansa,8
Janos,Sansa,11
Janos,Joffrey,16
Balon,Joffrey,9
Joffrey,Tommen,70
Sansa,Tommen,30
Robert,Sansa,14
Sansa,Tyrion,62
Tommen,Tyrion,22
Jaime,Joffrey,42
Jaime,Tyrion,57
Bronn,Jaime,6
Bronn,Joffrey,49
Bronn,Tyrion,126
Cersei,Tyrion,113
Cersei,Joffrey,85
Joffrey,Tyrion,130
Joffrey,Robert,76
Robert,Tyrion,34
Grand,Tyrion,34
Grand,Janos,16
Joffrey,Stannis,116
Janos,Tyrion,35
Joffrey,Tywin,5
Meryn,Robert,6
Stannis,Tyrion,115
Sansa,Stannis,44
Barristan,Robert,5
Barristan,Jaime,8
Jaime,Sandor,5
Barristan,Robb,6
Robb,Stannis,28
Joffrey,Varys,51
Cersei,Varys,29
Cersei,Jaime,78
Lancel,Robert,23
Lancel,Tyrion,68
Bronn,Cersei,39
Captain,Robb,2
Captain,Cersei,4
Captain,Tyrion,2
Captain,Shae,2
Shae,Tyrion,85
Shae,Varys,26
Tyrion,Varys,98
Maester,Osha,27
Hodor,Maester,32
Maester,Rodrik,78
Rodrik,Walder,9
Bran,Walder,26
Jon,Robb,12
Maester,Walder,20
Bran,Maester,58
Walda,Walder,4
Jon,Rodrik,11
Hodor,Rodrik,33
Arya,Syrio,39
Sansa,Yoren,5
Arya,Nymeria,8
Joffrey,Nymeria,5
Arya,Joffrey,41
Arya,Jaqen,145
Arya,Meryn,4
Meryn,Yoren,4
Gendry,Yoren,57
Sam,Yoren,6
Jon,Sam,271
Maester,Sam,17
Jon,Maester,48
Benjen,Sam,1
Benjen,Jon,6
Alliser,Sam,5
Robb,Robert,7
Jon,Stannis,2
Joffrey,Jon,8
Jon,Mormont,117
Mormont,Sam,18
Alliser,Joffrey,10
Bran,Jon,11
Jaime,Mormont,5
Catelyn,Jon,21
Catelyn,Robb,62
Robb,Theon,35
Robin,Theon,5
Catelyn,Robin,5
Catelyn,Walder,19
Catelyn,Jaime,37
Cersei,Walder,1
Catelyn,Rickard,16
Catelyn,Joffrey,17
Catelyn,Ned,109
Jaime,Theon,15
Catelyn,Theon,10
Robb,Robin,2
Catelyn,Edmure,72
Edmure,Robb,21
Cersei,Rickard,4
Catelyn,Cersei,39
Arya,Catelyn,21
Catelyn,Sansa,3
Arya,Cersei,8
Jaime,Robb,11
Theon,Walder,9
Balon,Theon,85
Balon,Catelyn,16
Brynden,Catelyn,25
Brynden,Ned,7
Beric,Tywin,6
Ned,Tywin,4
Joffrey,Ned,7
Amory,Brynden,2
Edmure,Jaime,7
Janos,Varys,6
Cersei,Janos,9
Cersei,Shae,8
Balon,Tyrion,23
Arya,Shae,1
Arya,Gendry,229
Selyse,Stannis,10
Davos,Selyse,4
Stannis,Thoros,5
Cersei,Tommen,22
Jaime,Stannis,33
Cersei,Davos,5
Stannis,Tommen,14
Davos,Theon,4
Balon,Robert,15
Robert,Theon,11
Balon,Robb,14
Euron,Theon,5
Aeron,Balon,8
Aeron,Theon,31
Jon,Theon,18
Rodrik,Theon,19
Aeron,Rodrik,3
Aeron,Robb,8
Robb,Rodrik,8
Theon,Tywin,4
Daenerys,Dothraki,15
Daenerys,Khal,12
Dothraki,Mormont,13
Khal,Viserys,17
Dothraki,Khal,37
Daenerys,Sam,5
Eddison,Jon,11
Mormont,Robert,7
Arya,Jon,40
Thoros,Yoren,6
Amory,Syrio,5
Amory,Yoren,22
Amory,Arya,32
Gendry,Jon,2
Gendry,Syrio,7
Grand,Stannis,11
Cersei,Stannis,56
Stannis,Varys,28
Grand,Selyse,5
Cersei,Shireen,1
Cersei,Grand,4
Podrick,Tyrion,34
Bronn,Robert,1
Bran,Hodor,22
Hodor,Walder,19
Bran,Rodrik,38
Maester,Roose,6
Rodrik,Roose,9
Bran,Osha,28
Robett,Rodrik,2
Maester,Tyrion,11
Tyrion,Yoren,8
Alliser,Tyrion,16
Alliser,Bronn,14
Janos,Lancel,1
Joffrey,Shae,8
Podrick,Shae,5
Joffrey,Podrick,3
Catelyn,Tyrion,24
Lysa,Tyrion,18
Janos,Lysa,2
Doran,Varys,9
Doran,Tyrion,7
Doran,Robert,5
Doran,Lysa,6
Cersei,Lysa,9
Tommen,Varys,2
Sansa,Varys,17
Beric,Sansa,3
Beric,Joffrey,7
Barristan,Joffrey,10
Amory,Gendry,4
Gendry,Sansa,5
Gendry,Maester,4
Hodor,Sansa,5
Robert,Thoros,6
Robb,Tyrion,29
Cersei,Robb,5
Cersei,Trystane,3
Doran,Sansa,3
Bronn,Varys,33
Robb,Roose,6
