source,target,value
Aeron,Balon,98
Balon,Euron,102
Aeron,Euron,78
Aeron,Robin,5
Balon,Theon,15
Aeron,Theon,10
Euron,Theon,6
Balon,Stannis,20
Aeron,Stannis,5
Areo,Obara,12
Ellaria,Obara,9
Doran,Ellaria,2
Areo,Doran,19
Obara,Tywin,11
Areo,Nymeria,1
Nymeria,Obara,9
Doran,Tyene,2
Nymeria,Tyene,13
Trystane,Tyene,9
Ellaria,Tyene,9
Cersei,Jaime,172
Robert,Stannis,21
Mace,Stannis,27
Kevan,Meryn,4
Kevan,Tyrion,17
Stannis,Tyrion,8
Catelyn,Robb,12
Jaime,Robert,86
Grand,Robert,1
Jaime,Qyburn,44
Qyburn,Sansa,5
Sansa,Tyrion,7
Qyburn,Tyrion,4
Cersei,Shae,8
Cersei,Sansa,15
Sansa,Shae,2
Jaime,Tommen,76
Jaime,Mace,21
Mace,Tommen,19
Cersei,Mace,39
Cersei,Joffrey,47
Joffrey,Varys,2
Jaime,Varys,26
Brienne,Sansa,129
Brienne,Jaime,99
Jaime,Sansa,16
Jaime,Roose,7
Roose,Sansa,5
Joffrey,Sansa,11
Brienne,Joffrey,14
Brienne,Varys,5
Brienne,Tommen,18
Maester,Sam,169
Sam,Stannis,67
Jon,Stannis,24
Jon,Sam,151
Alliser,Sam,13
Janos,Sam,4
Jon,Maester,62
Gilly,Sam,346
Mormont,Sam,11
Sam,Tommen,5
Janos,Stannis,4
Gilly,Stannis,2
Jon,Mance,5
Gilly,Jon,50
Maester,Mormont,3
Maester,Mance,8
Gilly,Maester,41
Arya,Jon,6
Jon,Yoren,8
Arya,Yoren,6
Arya,Syrio,14
Jaqen,Syrio,11
Maester,Sansa,11
Arya,Maester,16
Jaqen,Sansa,3
Arya,Jaqen,2
Arya,Joffrey,3
Arya,Thoros,2
Joffrey,Tommen,82
Cersei,Tyrion,56
Joffrey,Robert,31
Robert,Tyrion,12
Grand,Lancel,6
Grand,Margaery,10
Margaery,Tommen,81
Cersei,Margaery,113
Cersei,Lancel,21
Kevan,Lancel,47
Cersei,Robert,115
Margaery,Robert,17
Cersei,Tommen,147
Cersei,Qyburn,86
Mace,Tyrion,16
Ilyn,Tommen,4
Ilyn,Qyburn,5
Cersei,Kevan,46
Kevan,Mace,14
Lancel,Tommen,11
Kevan,Tommen,15
Jaime,Tywin,12
Joffrey,Kevan,6
Jaime,Kevan,33
Jaime,Loras,39
Balon,Loras,11
Balon,Jaime,10
Loras,Tyrion,9
Jaime,Tyrion,54
Jaime,Lancel,143
Tyrion,Varys,9
Grand,Jaime,13
Lancel,Tyrion,4
Kevan,Stannis,6
Robert,Tommen,32
Brienne,Randyll,24
Brienne,Tywin,5
Edmure,Sansa,9
Brynden,Edmure,9
Brynden,Sansa,3
Brienne,Tyrion,4
Joffrey,Randyll,6
Brienne,Catelyn,30
Brienne,Robb,4
Arya,Brienne,6
Robert,Sansa,45
Petyr,Sansa,9
Lysa,Sansa,20
Lysa,Robert,27
Edmure,Joffrey,4
Petyr,Robert,10
Jon,Robert,9
Balon,Rodrik,11
Rodrik,Theon,10
Stannis,Tommen,16
Cersei,Stannis,51
Jaime,Margaery,15
Jaime,Joffrey,13
Tommen,Tyrion,3
Jaime,Stannis,14
Joffrey,Margaery,21
Mace,Margaery,25
Beric,Lancel,9
Beric,Sandor,12
Kevan,Sandor,9
Sandor,Tommen,5
Loras,Tommen,19
Cersei,Loras,43
Grand,Tommen,9
Loras,Margaery,29
Lancel,Mace,9
Lancel,Margaery,1
Qyburn,Tommen,12
Margaery,Qyburn,22
Joffrey,Tyrion,9
Margaery,Tyrion,6
Joffrey,Stannis,2
Brienne,Podrick,304
Kevan,Podrick,10
Podrick,Sansa,9
Brienne,Robert,10
Catelyn,Podrick,2
Dickon,Randyll,5
Sam,Yoren,3
Robin,Sam,7
Alliser,Maester,5
Dickon,Sam,8
Jaime,Sandor,28
Jaime,Randyll,2
Cersei,Sandor,5
Lancel,Robert,11
Bronn,Grand,3
Bronn,Jaime,7
Bronn,Tyrion,4
Kevan,Roose,6
Roose,Stannis,13
Stannis,Walder,11
Lancel,Stannis,5
Barristan,Jaime,4
Qyburn,Varys,6
Grand,Qyburn,15
Qyburn,Tywin,1
Qyburn,Stannis,10
Cersei,Grand,13
Grand,Stannis,14
Qyburn,Theon,6
Qyburn,Walder,6
Cersei,Walder,19
Grand,Roose,1
Euron,Robert,1
Balon,Robert,16
Aeron,Nymeria,4
Jaime,Podrick,10
Brienne,Loras,5
Brienne,Sandor,30
Beric,Brienne,9
Arya,Sansa,11
Nymeria,Sansa,6
Jon,Nymeria,6
Hodor,Jon,6
Jon,Sansa,7
Roose,Syrio,5
Arya,Roose,1
Anya,Yohn,4
Lysa,Yohn,5
Joffrey,Lysa,3
Cersei,Yohn,2
Sansa,Yohn,5
Rodrik,Sansa,5
Robb,Rodrik,2
Robert,Yohn,10
Anya,Robert,4
Stannis,Varys,6
Margaery,Stannis,5
Cersei,Roose,4
Loras,Robert,1
Joffrey,Qyburn,5
Barristan,Loras,1
Bronn,Qyburn,8
Bronn,Robert,2
Bronn,Cersei,12
Beric,Randyll,6
Brynden,Tommen,1
Brynden,Jaime,73
Amory,Jaime,9
Jaime,Robb,15
Ilyn,Jaime,18
Lancel,Varys,4
Beric,Jaime,15
Cersei,Meryn,13
Beric,Cersei,3
Brienne,Qyburn,3
Randyll,Sansa,3
